year,month,ao
1971,2,-9.22E-01
1971,3,-1.09E+00
1971,4,-5.83E-01
1971,5,6.79E-01
1971,6,-6.68E-01
1971,7,-5.78E-01
1971,8,8.18E-01
1971,9,1.53E-01
1971,10,1.18E+00
1971,11,4.19E-01
1971,12,8.24E-01
1972,1,1.67E-01
1972,2,-1.95E-01
1972,3,-1.41E-01
1972,4,1.01E+00
1972,5,1.40E-01
1972,6,-4.91E-02
1972,7,-5.53E-01
1972,8,-8.20E-02
1972,9,-9.20E-01
1972,10,3.92E-01
1972,11,-3.80E-01
1972,12,1.24E+00
1973,1,1.23E+00
1973,2,7.86E-01
1973,3,5.37E-01
1973,4,-1.13E+00
1973,5,7.35E-02
1973,6,5.31E-01
1973,7,2.70E-01
1973,8,3.13E-01
1973,9,1.14E-01
1973,10,3.37E-01
1973,11,2.24E-03
1973,12,-1.81E-01
1974,1,2.32E-01
1974,2,-4.89E-01
1974,3,-7.46E-01
1974,4,3.09E-01
1974,5,-5.07E-01
1974,6,-4.75E-02
1974,7,3.90E-01
1974,8,-5.33E-01
1974,9,-1.36E-01
1974,10,-1.02E+00
1974,11,-4.35E-01
1974,12,5.56E-01
1975,1,1.59E+00
1975,2,1.94E-01
1975,3,1.51E-01
1975,4,4.09E-01
1975,5,-6.14E-01
1975,6,-3.23E-01
1975,7,3.45E-01
1975,8,1.30E-01
1975,9,1.28E+00
1975,10,1.38E-01
1975,11,6.19E-01
1975,12,1.29E+00
1976,1,3.43E-02
1976,2,1.66E+00
1976,3,5.87E-01
1976,4,4.40E-01
1976,5,5.96E-02
1976,6,3.28E-01
1976,7,-3.25E-01
1976,8,5.59E-01
1976,9,-7.43E-01
1976,10,-8.04E-01
1976,11,-8.73E-02
1976,12,-2.07E+00
1977,1,-3.77E+00
1977,2,-2.01E+00
1977,3,3.44E-01
1977,4,1.33E+00
1977,5,1.04E-01
1977,6,-2.26E-01
1977,7,-4.92E-01
1977,8,-1.41E+00
1977,9,5.86E-01
1977,10,-9.18E-03
1977,11,6.05E-01
1977,12,-2.40E-01
1978,1,-3.47E-01
1978,2,-3.01E+00
1978,3,5.02E-01
1978,4,-9.67E-01
1978,5,5.90E-02
1978,6,6.35E-01
1978,7,-6.04E-01
1978,8,-3.54E-01
1978,9,-9.90E-02
1978,10,8.95E-01
1978,11,2.47E+00
1978,12,-9.80E-01
1979,1,-2.23E+00
1979,2,-6.97E-01
1979,3,-8.14E-01
1979,4,-1.16E+00
1979,5,-2.50E-01
1979,6,9.33E-01
1979,7,3.85E-02
1979,8,-6.84E-01
1979,9,-4.59E-02
1979,10,-1.24E+00
1979,11,4.75E-01
1979,12,1.29E+00
1980,1,-2.07E+00
1980,2,-9.34E-01
1980,3,-1.43E+00
1980,4,-4.19E-01
1980,5,-1.15E+00
1980,6,7.21E-01
1980,7,-6.22E-01
1980,8,-1.85E-01
1980,9,3.13E-01
1980,10,-5.21E-01
1980,11,-1.36E+00
1980,12,-5.73E-02
1981,1,-1.16E-01
1981,2,-3.32E-01
1981,3,-1.64E+00
1981,4,4.30E-01
1981,5,1.80E-01
1981,6,-4.38E-01
1981,7,5.61E-01
1981,8,-2.44E-01
1981,9,-1.04E+00
1981,10,-1.17E+00
1981,11,-1.88E-01
1981,12,-1.22E+00
1982,1,-8.83E-01
1982,2,9.74E-01
1982,3,1.07E+00
1982,4,1.45E+00
1982,5,-2.09E-01
1982,6,-1.18E+00
1982,7,4.78E-03
1982,8,3.62E-01
1982,9,5.58E-01
1982,10,-2.11E-01
1982,11,6.61E-01
1982,12,9.67E-01
1983,1,1.36E+00
1983,2,-1.81E+00
1983,3,-5.67E-01
1983,4,-7.38E-01
1983,5,-4.41E-01
1983,6,3.13E-01
1983,7,1.31E-01
1983,8,1.10E+00
1983,9,1.67E-01
1983,10,1.37E+00
1983,11,-6.88E-01
1983,12,1.86E-01
1984,1,9.05E-01
1984,2,-3.03E-01
1984,3,-2.39E+00
1984,4,-2.84E-01
1984,5,4.79E-01
1984,6,7.29E-03
1984,7,1.89E-02
1984,8,4.66E-01
1984,9,-4.13E-01
1984,10,-2.70E-01
1984,11,-9.66E-01
1984,12,4.46E-01
1985,1,-2.81E+00
1985,2,-1.44E+00
1985,3,5.51E-01
1985,4,6.52E-01
1985,5,-4.32E-01
1985,6,-3.47E-01
1985,7,-3.90E-01
1985,8,-1.43E-03
1985,9,1.14E-01
1985,10,1.04E+00
1985,11,-1.22E+00
1985,12,-1.95E+00
1986,1,-5.68E-01
1986,2,-2.90E+00
1986,3,1.93E+00
1986,4,1.03E-01
1986,5,3.67E-01
1986,6,5.35E-01
1986,7,-8.26E-03
1986,8,-8.26E-01
1986,9,-2.34E-02
1986,10,1.42E+00
1986,11,9.26E-01
1986,12,5.98E-02
1987,1,-1.15E+00
1987,2,-1.47E+00
1987,3,-1.75E+00
1987,4,3.87E-01
1987,5,3.25E-01
1987,6,-7.10E-01
1987,7,-4.66E-01
1987,8,-8.36E-01
1987,9,2.87E-01
1987,10,-8.00E-02
1987,11,-5.36E-01
1987,12,-5.34E-01
1988,1,2.65E-01
1988,2,-1.07E+00
1988,3,-1.97E-01
1988,4,-5.61E-01
1988,5,-8.46E-01
1988,6,6.05E-02
1988,7,-1.43E-01
1988,8,2.55E-01
1988,9,1.04E+00
1988,10,3.24E-02
1988,11,-3.47E-02
1988,12,1.68E+00
1989,1,3.11E+00
1989,2,3.28E+00
1989,3,1.53E+00
1989,4,-2.50E-01
1989,5,8.89E-01
1989,6,3.45E-01
1989,7,8.66E-01
1989,8,5.51E-01
1989,9,7.03E-01
1989,10,9.91E-01
1989,11,3.38E-02
1989,12,-6.44E-01
1990,1,1.00E+00
1990,2,3.40E+00
1990,3,2.99E+00
1990,4,1.88E+00
1990,5,9.43E-01
1990,6,3.04E-01
1990,7,-2.96E-01
1990,8,-1.80E-01
1990,9,-2.10E-01
1990,10,6.60E-01
