"region","monthly.anom","date"
"North_Pacific",-0.0103891805026178,1959-08-01
"North_Pacific",0.0711151375970527,1959-09-01
"North_Pacific",0.0190058195602201,1959-10-01
"North_Pacific",-0.0329865296554402,1959-11-01
"North_Pacific",-0.0582123967387541,1959-12-01
"North_Pacific",-0.190058427609111,1960-01-01
"North_Pacific",-0.123474422761328,1960-02-01
"North_Pacific",-0.0673735401861046,1960-03-01
"North_Pacific",-0.188797200441851,1960-04-01
"North_Pacific",-0.227257751843384,1960-05-01
"North_Pacific",-0.345279334760325,1960-06-01
"North_Pacific",-0.0563613519553528,1960-07-01
"North_Pacific",-0.27977351862035,1960-08-01
"North_Pacific",-0.164159848381222,1960-09-01
"North_Pacific",-0.337036765526077,1960-10-01
"North_Pacific",-0.444453674799832,1960-11-01
"North_Pacific",-0.341677290004666,1960-12-01
"North_Pacific",-0.322565947402123,1961-01-01
"North_Pacific",-0.289961335867988,1961-02-01
"North_Pacific",-0.229294168757225,1961-03-01
"North_Pacific",-0.237990368424072,1961-04-01
"North_Pacific",-0.112786514358803,1961-05-01
"North_Pacific",-0.039700076881406,1961-06-01
"North_Pacific",-0.0410511037828179,1961-07-01
"North_Pacific",0.062623895560746,1961-08-01
"North_Pacific",-0.0171502653397157,1961-09-01
"North_Pacific",0.0723009787614547,1961-10-01
"North_Pacific",-0.288842609325076,1961-11-01
"North_Pacific",-0.177602007347776,1961-12-01
"North_Pacific",-0.0760305216879798,1962-01-01
"North_Pacific",-0.0842339368871893,1962-02-01
"North_Pacific",-0.0656826783088593,1962-03-01
"North_Pacific",-0.0159907708031349,1962-04-01
"North_Pacific",0.018676609880238,1962-05-01
"North_Pacific",-0.0118053077813675,1962-06-01
"North_Pacific",0.136102517721966,1962-07-01
"North_Pacific",-0.0573675126493962,1962-08-01
"North_Pacific",0.0552447521169604,1962-09-01
"North_Pacific",-0.219057270320068,1962-10-01
"North_Pacific",-0.298099667276415,1962-11-01
"North_Pacific",-0.184089890040599,1962-12-01
"North_Pacific",-0.146738196314721,1963-01-01
"North_Pacific",-0.0596428029960262,1963-02-01
"North_Pacific",-0.0600286420277653,1963-03-01
"North_Pacific",-0.118165995450517,1963-04-01
"North_Pacific",0.0843799009410753,1963-05-01
"North_Pacific",-0.0236533845076539,1963-06-01
"North_Pacific",-0.0251887699239382,1963-07-01
