"","x"
"1",0.875239648964201
"2",0.858648552558102
"3",0.840896415253715
"4",0.82194294669135
"5",0.801740363014448
"6",0.780231650863204
"7",0.75734829263097
"8",0.733007236217231
"9",0.707106781186548
"10",0.679520870345447
"11",0.875239648964201
"12",0.858648552558102
"13",0.840896415253715
"14",0.82194294669135
"15",0.801740363014448
"16",0.780231650863204
"17",0.75734829263097
"18",0.733007236217231
"19",0.707106781186548
"20",0.679520870345447
"21",0.875239648964201
"22",0.858648552558102
"23",0.840896415253715
"24",0.82194294669135
"25",0.801740363014448
"26",0.780231650863204
"27",0.75734829263097
"28",0.733007236217231
"29",0.707106781186548
"30",0.679520870345447
"31",0.875239648964201
"32",0.858648552558102
"33",0.840896415253715
"34",0.82194294669135
"35",0.801740363014448
"36",0.780231650863204
"37",0.75734829263097
"38",0.733007236217231
"39",0.707106781186548
"40",0.679520870345447
"41",0.875239648964201
"42",0.858648552558102
"43",0.840896415253715
"44",0.82194294669135
"45",0.801740363014448
"46",0.780231650863204
"47",0.75734829263097
"48",0.733007236217231
"49",0.707106781186548
"50",0.679520870345447
"51",0.875239648964201
"52",0.858648552558102
"53",0.840896415253715
"54",0.82194294669135
"55",0.801740363014448
"56",0.780231650863204
"57",0.75734829263097
"58",0.733007236217231
"59",0.707106781186548
"60",0.679520870345447
"61",0.875239648964201
"62",0.858648552558102
"63",0.840896415253715
"64",0.82194294669135
"65",0.801740363014448
"66",0.780231650863204
"67",0.75734829263097
"68",0.733007236217231
"69",0.707106781186548
"70",0.679520870345447
"71",0.875239648964201
"72",0.858648552558102
"73",0.840896415253715
"74",0.82194294669135
"75",0.801740363014448
"76",0.780231650863204
"77",0.75734829263097
"78",0.733007236217231
"79",0.707106781186548
"80",0.679520870345447
"81",0.875239648964201
"82",0.858648552558102
"83",0.840896415253715
"84",0.82194294669135
"85",0.801740363014448
"86",0.780231650863204
"87",0.75734829263097
"88",0.733007236217231
"89",0.707106781186548
"90",0.679520870345447
"91",0.875239648964201
"92",0.858648552558102
"93",0.840896415253715
"94",0.82194294669135
"95",0.801740363014448
"96",0.780231650863204
"97",0.75734829263097
"98",0.733007236217231
"99",0.707106781186548
"100",0.679520870345447
"101",0.875239648964201
"102",0.858648552558102
"103",0.840896415253715
"104",0.82194294669135
"105",0.801740363014448
"106",0.780231650863204
"107",0.75734829263097
"108",0.733007236217231
"109",0.707106781186548
"110",0.679520870345447
"111",0.875239648964201
"112",0.858648552558102
"113",0.840896415253715
"114",0.82194294669135
"115",0.801740363014448
"116",0.780231650863204
"117",0.75734829263097
"118",0.733007236217231
"119",0.707106781186548
"120",0.679520870345447
"121",0.875239648964201
"122",0.858648552558102
"123",0.840896415253715
"124",0.82194294669135
"125",0.801740363014448
"126",0.780231650863204
"127",0.75734829263097
"128",0.733007236217231
"129",0.707106781186548
"130",0.679520870345447
"131",0.875239648964201
"132",0.858648552558102
"133",0.840896415253715
"134",0.82194294669135
"135",0.801740363014448
"136",0.780231650863204
"137",0.75734829263097
"138",0.733007236217231
"139",0.707106781186548
"140",0.679520870345447
"141",0.875239648964201
"142",0.858648552558102
"143",0.840896415253715
"144",0.82194294669135
"145",0.801740363014448
"146",0.780231650863204
"147",0.75734829263097
"148",0.733007236217231
"149",0.707106781186548
"150",0.679520870345447
"151",0.875239648964201
"152",0.858648552558102
"153",0.840896415253715
"154",0.82194294669135
"155",0.801740363014448
"156",0.780231650863204
"157",0.75734829263097
"158",0.733007236217231
"159",0.707106781186548
"160",0.679520870345447
"161",0.875239648964201
"162",0.858648552558102
"163",0.840896415253715
"164",0.82194294669135
"165",0.801740363014448
"166",0.780231650863204
"167",0.75734829263097
"168",0.733007236217231
"169",0.707106781186548
"170",0.679520870345447
"171",0.875239648964201
"172",0.858648552558102
"173",0.840896415253715
"174",0.82194294669135
"175",0.801740363014448
"176",0.780231650863204
"177",0.75734829263097
"178",0.733007236217231
"179",0.707106781186548
"180",0.679520870345447
"181",0.875239648964201
"182",0.858648552558102
"183",0.840896415253715
"184",0.82194294669135
"185",0.801740363014448
"186",0.780231650863204
"187",0.75734829263097
"188",0.733007236217231
"189",0.707106781186548
"190",0.679520870345447
"191",0.875239648964201
"192",0.858648552558102
"193",0.840896415253715
"194",0.82194294669135
"195",0.801740363014448
"196",0.780231650863204
"197",0.75734829263097
"198",0.733007236217231
"199",0.707106781186548
"200",0.679520870345447
"201",0.875239648964201
"202",0.858648552558102
"203",0.840896415253715
"204",0.82194294669135
"205",0.801740363014448
"206",0.780231650863204
"207",0.75734829263097
"208",0.733007236217231
"209",0.707106781186548
"210",0.679520870345447
"211",0.875239648964201
"212",0.858648552558102
"213",0.840896415253715
"214",0.82194294669135
"215",0.801740363014448
"216",0.780231650863204
"217",0.75734829263097
"218",0.733007236217231
"219",0.707106781186548
"220",0.679520870345447
"221",0.875239648964201
"222",0.858648552558102
"223",0.840896415253715
"224",0.82194294669135
"225",0.801740363014448
"226",0.780231650863204
"227",0.75734829263097
"228",0.733007236217231
"229",0.707106781186548
"230",0.679520870345447
"231",0.875239648964201
"232",0.858648552558102
"233",0.840896415253715
"234",0.82194294669135
"235",0.801740363014448
"236",0.780231650863204
"237",0.75734829263097
"238",0.733007236217231
"239",0.707106781186548
"240",0.679520870345447
"241",0.875239648964201
"242",0.858648552558102
"243",0.840896415253715
"244",0.82194294669135
"245",0.801740363014448
"246",0.780231650863204
"247",0.75734829263097
"248",0.733007236217231
"249",0.707106781186548
"250",0.679520870345447
"251",0.875239648964201
"252",0.858648552558102
"253",0.840896415253715
"254",0.82194294669135
"255",0.801740363014448
"256",0.780231650863204
"257",0.75734829263097
"258",0.733007236217231
"259",0.707106781186548
"260",0.679520870345447
"261",0.875239648964201
"262",0.858648552558102
"263",0.840896415253715
"264",0.82194294669135
"265",0.801740363014448
"266",0.780231650863204
"267",0.75734829263097
"268",0.733007236217231
"269",0.707106781186548
"270",0.679520870345447
"271",0.875239648964201
"272",0.858648552558102
"273",0.840896415253715
"274",0.82194294669135
"275",0.801740363014448
"276",0.780231650863204
"277",0.75734829263097
"278",0.733007236217231
"279",0.707106781186548
"280",0.679520870345447
"281",0.875239648964201
"282",0.858648552558102
"283",0.840896415253715
"284",0.82194294669135
"285",0.801740363014448
"286",0.780231650863204
"287",0.75734829263097
"288",0.733007236217231
"289",0.707106781186548
"290",0.679520870345447
"291",0.875239648964201
"292",0.858648552558102
"293",0.840896415253715
"294",0.82194294669135
"295",0.801740363014448
"296",0.780231650863204
"297",0.75734829263097
"298",0.733007236217231
"299",0.707106781186548
"300",0.679520870345447
"301",0.875239648964201
"302",0.858648552558102
"303",0.840896415253715
"304",0.82194294669135
"305",0.801740363014448
"306",0.780231650863204
"307",0.75734829263097
"308",0.733007236217231
"309",0.707106781186548
"310",0.679520870345447
"311",0.875239648964201
"312",0.858648552558102
"313",0.840896415253715
"314",0.82194294669135
"315",0.801740363014448
"316",0.780231650863204
"317",0.75734829263097
"318",0.733007236217231
"319",0.707106781186548
"320",0.679520870345447
