"","date","anom"
"1","01/01/50",-0.657881876620788
"2","02/01/50",-0.529244914833132
"3","03/01/50",-0.435636197560993
"4","04/01/50",-0.714166803118449
"5","05/01/50",-0.734568721199732
"6","06/01/50",-0.722299910271945
"7","07/01/50",-0.77901455792396
"8","08/01/50",-0.59686418460763
"9","09/01/50",0.609615933312022
"10","10/01/50",-0.16199036979157
"11","11/01/50",-1.46070696806292
"12","12/01/50",-1.37097596554288
"13","01/01/51",-0.954993929476072
"14","02/01/51",-1.11568330116975
"15","03/01/51",-0.977765838554858
"16","04/01/51",-1.30873387654656
"17","05/01/51",-1.66923522004736
"18","06/01/51",-1.21540885143306
"19","07/01/51",-0.543824850541094
"20","08/01/51",-0.287945770699045
"21","09/01/51",-0.717463756708995
"22","10/01/51",0.301812921529231
"23","11/01/51",0.042886792925065
"24","12/01/51",-0.135074153694365
"25","01/01/52",-0.629344719831589
"26","02/01/52",-0.445616882314663
"27","03/01/52",-0.862473100241598
"28","04/01/52",-0.60697784622544
"29","05/01/52",-1.76019507414742
"30","06/01/52",-1.76200313428822
"31","07/01/52",-2.16830733710009
"32","08/01/52",-1.97894670911457
"33","09/01/52",-0.901561274800612
"34","10/01/52",0.178461679297945
"35","11/01/52",-0.692546210251749
"36","12/01/52",-0.618263432017082
"37","01/01/53",-0.851740243566304
"38","02/01/53",-0.805314817688549
"39","03/01/53",-0.580578180576634
"40","04/01/53",-0.56158224387479
"41","05/01/53",-0.0806537823974276
"42","06/01/53",0.81353342257764
"43","07/01/53",1.32720139590294
"44","08/01/53",0.582712709903717
"45","09/01/53",0.00586611907119336
"46","10/01/53",-0.585238494950792
"47","11/01/53",-0.476367632372548
"48","12/01/53",-1.00005997214264
"49","01/01/54",-0.835497039739731
"50","02/01/54",-0.696667152436693
"51","03/01/54",-1.21110210581885
"52","04/01/54",-0.268345232804954
"53","05/01/54",-0.401094520494909
"54","06/01/54",-0.303738498331412
"55","07/01/54",-0.917628797823968
"56","08/01/54",-0.781526153502257
"57","09/01/54",-0.537877138866031
"58","10/01/54",-0.238273306385331
"59","11/01/54",-0.77010834545059
"60","12/01/54",-0.570175762561595
"61","01/01/55",-1.41903550980066
"62","02/01/55",-0.130370743430989
"63","03/01/55",-0.326870182103923
"64","04/01/55",-0.693795394552264
"65","05/01/55",-1.07202939457341
"66","06/01/55",-1.14294403289323
"67","07/01/55",-1.17237231167762
"68","08/01/55",-0.54216507465943
"69","09/01/55",-0.786982550893141
"70","10/01/55",-1.56038591848767
"71","11/01/55",-1.17737054116214
"72","12/01/55",-1.60078687203603
"73","01/01/56",-1.15973044470783
"74","02/01/56",-1.22637199272361
"75","03/01/56",-1.15705626277739
"76","04/01/56",-1.34724810451735
"77","05/01/56",0.323927987255561
"78","06/01/56",-0.0869403483103151
"79","07/01/56",0.131258890356707
"80","08/01/56",0.573203830615334
"81","09/01/56",-0.0666390440386275
"82","10/01/56",-0.515733031475026
"83","11/01/56",-2.3909487368377
"84","12/01/56",-2.06318229646422
"85","01/01/57",-0.715157355875303
"86","02/01/57",-0.353905355982968
"87","03/01/57",-0.0736664337429987
"88","04/01/57",-0.0547064814018086
"89","05/01/57",0.72010900571173
"90","06/01/57",0.797312790770894
"91","07/01/57",0.46759127371985
"92","08/01/57",0.470338611499123
"93","09/01/57",0.700968105831872
"94","10/01/57",0.63800382938074
"95","11/01/57",1.10268782204746
"96","12/01/57",0.551488565858049
"97","01/01/58",-0.765993265926069
"98","02/01/58",-0.510360919445267
"99","03/01/58",0.170007735673014
"100","04/01/58",0.820680363108809
"101","05/01/58",0.611718290900488
"102","06/01/58",0.549409402291412
"103","07/01/58",0.0356176297949708
"104","08/01/58",0.159132871938788
"105","09/01/58",0.157883152689623
"106","10/01/58",-0.334769328651221
"107","11/01/58",-1.16976946142867
"108","12/01/58",-0.919623742436828
"109","01/01/59",-0.554924475034172
"110","02/01/59",-0.404901618077217
"111","03/01/59",-0.515940571426535
"112","04/01/59",-0.755444543431108
"113","05/01/59",-0.41724403618592
"114","06/01/59",-0.209396194018747
"115","07/01/59",-0.856320123633613
"116","08/01/59",-0.591695414937061
"117","09/01/59",-0.50337075571651
"118","10/01/59",-0.0878281146287918
"119","11/01/59",-0.261226584770433
"120","12/01/59",-0.102911343544965
"121","01/01/60",-0.571120850342002
"122","02/01/60",-0.76166302178298
"123","03/01/60",-0.449175344678857
"124","04/01/60",-0.581198392916754
"125","05/01/60",-0.535840315288743
"126","06/01/60",0.441195894680593
"127","07/01/60",0.792538278452728
"128","08/01/60",0.421705118987871
"129","09/01/60",-0.369421745448009
"130","10/01/60",0.198711336306904
"131","11/01/60",-0.222485120570206
"132","12/01/60",-0.47630459150178
"133","01/01/61",-0.296049314920548
"134","02/01/61",-0.353043685323032
"135","03/01/61",-0.628572638733717
"136","04/01/61",-0.836795696659702
"137","05/01/61",0.481917012371528
"138","06/01/61",-0.210922269879476
"139","07/01/61",-1.00788067896729
"140","08/01/61",-1.18217941211618
"141","09/01/61",-0.667442481478919
"142","10/01/61",-0.234769569143005
"143","11/01/61",-0.539427739811008
"144","12/01/61",-0.612756106668435
"145","01/01/62",-0.50471117437068
"146","02/01/62",-0.127187299521883
"147","03/01/62",0.230527556643052
"148","04/01/62",-0.543046921405577
"149","05/01/62",-1.17461867009937
"150","06/01/62",-1.31327247376675
"151","07/01/62",-0.278693978229295
"152","08/01/62",-0.341444474199544
"153","09/01/62",-0.5171553508743
"154","10/01/62",-0.828340589352276
"155","11/01/62",-0.903709642953523
"156","12/01/62",-0.643232510941427
