"","x"
"1",0.969377439796238
"2",0.961186523267616
"3",0.952001988987759
"4",0.941812525494443
"5",0.9306048591021
"6",0.918363460625958
"7",0.905070187493209
"8",0.890703845445407
"9",0.875239648964201
"10",0.858648552558102
"11",0.840896415253715
"12",0.82194294669135
"13",0.801740363014448
"14",0.780231650863204
"15",0.75734829263097
"16",0.733007236217231
"17",0.707106781186548
"18",0.679520870345447
"19",0.650090964204779
"20",0.618614122345336
"21",0.584824882615017
"22",0.548366482841788
"23",0.508742611840723
"24",0.465230710441715
"25",0.416711144159753
"26",0.361284087969636
"27",0.295221514709985
"28",0.208852549338849
"29",7.82498036362513e-09
"30",0.969377439796238
"31",0.961186523267616
"32",0.952001988987759
"33",0.941812525494443
"34",0.9306048591021
"35",0.918363460625958
"36",0.905070187493209
"37",0.890703845445407
"38",0.875239648964201
"39",0.858648552558102
"40",0.840896415253715
"41",0.82194294669135
"42",0.801740363014448
"43",0.780231650863204
"44",0.75734829263097
"45",0.733007236217231
"46",0.707106781186548
"47",0.679520870345447
"48",0.650090964204779
"49",0.618614122345336
"50",0.584824882615017
"51",0.548366482841788
"52",0.508742611840723
"53",0.465230710441715
"54",0.416711144159753
"55",0.361284087969636
"56",0.295221514709985
"57",0.208852549338849
"58",7.82498036362513e-09
"59",0.969377439796238
"60",0.961186523267616
"61",0.952001988987759
"62",0.941812525494443
"63",0.9306048591021
"64",0.918363460625958
"65",0.905070187493209
"66",0.890703845445407
"67",0.875239648964201
"68",0.858648552558102
"69",0.840896415253715
"70",0.82194294669135
"71",0.801740363014448
"72",0.780231650863204
"73",0.75734829263097
"74",0.733007236217231
"75",0.707106781186548
"76",0.679520870345447
"77",0.650090964204779
"78",0.618614122345336
"79",0.584824882615017
"80",0.548366482841788
"81",0.508742611840723
"82",0.465230710441715
"83",0.416711144159753
"84",0.361284087969636
"85",0.295221514709985
"86",0.208852549338849
"87",7.82498036362513e-09
"88",0.969377439796238
"89",0.961186523267616
"90",0.952001988987759
"91",0.941812525494443
"92",0.9306048591021
"93",0.918363460625958
"94",0.905070187493209
"95",0.890703845445407
"96",0.875239648964201
"97",0.858648552558102
"98",0.840896415253715
"99",0.82194294669135
"100",0.801740363014448
"101",0.780231650863204
"102",0.75734829263097
"103",0.733007236217231
"104",0.707106781186548
"105",0.679520870345447
"106",0.650090964204779
"107",0.618614122345336
"108",0.584824882615017
"109",0.548366482841788
"110",0.508742611840723
"111",0.465230710441715
"112",0.416711144159753
"113",0.361284087969636
"114",0.295221514709985
"115",0.208852549338849
"116",7.82498036362513e-09
"117",0.969377439796238
"118",0.961186523267616
"119",0.952001988987759
"120",0.941812525494443
"121",0.9306048591021
"122",0.918363460625958
"123",0.905070187493209
"124",0.890703845445407
"125",0.875239648964201
"126",0.858648552558102
"127",0.840896415253715
"128",0.82194294669135
"129",0.801740363014448
"130",0.780231650863204
"131",0.75734829263097
"132",0.733007236217231
"133",0.707106781186548
"134",0.679520870345447
"135",0.650090964204779
"136",0.618614122345336
"137",0.584824882615017
"138",0.548366482841788
"139",0.508742611840723
"140",0.465230710441715
"141",0.416711144159753
"142",0.361284087969636
"143",0.295221514709985
"144",0.208852549338849
"145",7.82498036362513e-09
"146",0.969377439796238
"147",0.961186523267616
"148",0.952001988987759
"149",0.941812525494443
"150",0.9306048591021
"151",0.918363460625958
"152",0.905070187493209
"153",0.890703845445407
"154",0.875239648964201
"155",0.858648552558102
"156",0.840896415253715
"157",0.82194294669135
"158",0.801740363014448
"159",0.780231650863204
"160",0.75734829263097
"161",0.733007236217231
"162",0.707106781186548
"163",0.679520870345447
"164",0.650090964204779
"165",0.618614122345336
"166",0.584824882615017
"167",0.548366482841788
"168",0.508742611840723
"169",0.465230710441715
"170",0.416711144159753
"171",0.361284087969636
"172",0.295221514709985
"173",0.208852549338849
"174",7.82498036362513e-09
"175",0.969377439796238
"176",0.961186523267616
"177",0.952001988987759
"178",0.941812525494443
"179",0.9306048591021
"180",0.918363460625958
"181",0.905070187493209
"182",0.890703845445407
"183",0.875239648964201
"184",0.858648552558102
"185",0.840896415253715
"186",0.82194294669135
"187",0.801740363014448
"188",0.780231650863204
"189",0.75734829263097
"190",0.733007236217231
"191",0.707106781186548
"192",0.679520870345447
"193",0.650090964204779
"194",0.618614122345336
"195",0.584824882615017
"196",0.548366482841788
"197",0.508742611840723
"198",0.465230710441715
"199",0.416711144159753
"200",0.361284087969636
"201",0.295221514709985
"202",0.208852549338849
"203",7.82498036362513e-09
"204",0.969377439796238
"205",0.961186523267616
"206",0.952001988987759
"207",0.941812525494443
"208",0.9306048591021
"209",0.918363460625958
"210",0.905070187493209
"211",0.890703845445407
"212",0.875239648964201
"213",0.858648552558102
"214",0.840896415253715
"215",0.82194294669135
"216",0.801740363014448
"217",0.780231650863204
"218",0.75734829263097
"219",0.733007236217231
"220",0.707106781186548
"221",0.679520870345447
"222",0.650090964204779
"223",0.618614122345336
"224",0.584824882615017
"225",0.548366482841788
"226",0.508742611840723
"227",0.465230710441715
"228",0.416711144159753
"229",0.361284087969636
"230",0.295221514709985
"231",0.208852549338849
"232",7.82498036362513e-09
"233",0.969377439796238
"234",0.961186523267616
"235",0.952001988987759
"236",0.941812525494443
"237",0.9306048591021
"238",0.918363460625958
"239",0.905070187493209
"240",0.890703845445407
"241",0.875239648964201
"242",0.858648552558102
"243",0.840896415253715
"244",0.82194294669135
"245",0.801740363014448
"246",0.780231650863204
"247",0.75734829263097
"248",0.733007236217231
"249",0.707106781186548
"250",0.679520870345447
"251",0.650090964204779
"252",0.618614122345336
"253",0.584824882615017
"254",0.548366482841788
"255",0.508742611840723
"256",0.465230710441715
"257",0.416711144159753
"258",0.361284087969636
"259",0.295221514709985
"260",0.208852549338849
"261",7.82498036362513e-09
"262",0.969377439796238
"263",0.961186523267616
"264",0.952001988987759
"265",0.941812525494443
"266",0.9306048591021
"267",0.918363460625958
"268",0.905070187493209
"269",0.890703845445407
"270",0.875239648964201
"271",0.858648552558102
"272",0.840896415253715
"273",0.82194294669135
"274",0.801740363014448
"275",0.780231650863204
"276",0.75734829263097
"277",0.733007236217231
"278",0.707106781186548
"279",0.679520870345447
"280",0.650090964204779
"281",0.618614122345336
"282",0.584824882615017
"283",0.548366482841788
"284",0.508742611840723
"285",0.465230710441715
"286",0.416711144159753
"287",0.361284087969636
"288",0.295221514709985
"289",0.208852549338849
"290",7.82498036362513e-09
"291",0.969377439796238
"292",0.961186523267616
"293",0.952001988987759
"294",0.941812525494443
"295",0.9306048591021
"296",0.918363460625958
"297",0.905070187493209
"298",0.890703845445407
"299",0.875239648964201
"300",0.858648552558102
"301",0.840896415253715
"302",0.82194294669135
"303",0.801740363014448
"304",0.780231650863204
"305",0.75734829263097
"306",0.733007236217231
"307",0.707106781186548
"308",0.679520870345447
"309",0.650090964204779
"310",0.618614122345336
"311",0.584824882615017
"312",0.548366482841788
"313",0.508742611840723
"314",0.465230710441715
"315",0.416711144159753
"316",0.361284087969636
"317",0.295221514709985
"318",0.208852549338849
"319",7.82498036362513e-09
"320",0.969377439796238
"321",0.961186523267616
"322",0.952001988987759
"323",0.941812525494443
"324",0.9306048591021
"325",0.918363460625958
"326",0.905070187493209
"327",0.890703845445407
"328",0.875239648964201
"329",0.858648552558102
"330",0.840896415253715
"331",0.82194294669135
"332",0.801740363014448
"333",0.780231650863204
"334",0.75734829263097
"335",0.733007236217231
"336",0.707106781186548
"337",0.679520870345447
"338",0.650090964204779
"339",0.618614122345336
"340",0.584824882615017
"341",0.548366482841788
"342",0.508742611840723
"343",0.465230710441715
"344",0.416711144159753
"345",0.361284087969636
"346",0.295221514709985
"347",0.208852549338849
"348",7.82498036362513e-09
"349",0.969377439796238
"350",0.961186523267616
"351",0.952001988987759
"352",0.941812525494443
"353",0.9306048591021
"354",0.918363460625958
"355",0.905070187493209
"356",0.890703845445407
"357",0.875239648964201
"358",0.858648552558102
"359",0.840896415253715
"360",0.82194294669135
"361",0.801740363014448
"362",0.780231650863204
"363",0.75734829263097
"364",0.733007236217231
"365",0.707106781186548
"366",0.679520870345447
"367",0.650090964204779
"368",0.618614122345336
"369",0.584824882615017
"370",0.548366482841788
"371",0.508742611840723
"372",0.465230710441715
"373",0.416711144159753
"374",0.361284087969636
"375",0.295221514709985
"376",0.208852549338849
"377",7.82498036362513e-09
"378",0.969377439796238
"379",0.961186523267616
"380",0.952001988987759
"381",0.941812525494443
"382",0.9306048591021
"383",0.918363460625958
"384",0.905070187493209
"385",0.890703845445407
"386",0.875239648964201
"387",0.858648552558102
"388",0.840896415253715
"389",0.82194294669135
"390",0.801740363014448
"391",0.780231650863204
"392",0.75734829263097
"393",0.733007236217231
"394",0.707106781186548
"395",0.679520870345447
"396",0.650090964204779
"397",0.618614122345336
"398",0.584824882615017
"399",0.548366482841788
"400",0.508742611840723
"401",0.465230710441715
"402",0.416711144159753
"403",0.361284087969636
"404",0.295221514709985
"405",0.208852549338849
"406",7.82498036362513e-09
"407",0.969377439796238
"408",0.961186523267616
"409",0.952001988987759
"410",0.941812525494443
"411",0.9306048591021
"412",0.918363460625958
"413",0.905070187493209
"414",0.890703845445407
"415",0.875239648964201
"416",0.858648552558102
"417",0.840896415253715
"418",0.82194294669135
"419",0.801740363014448
"420",0.780231650863204
"421",0.75734829263097
"422",0.733007236217231
"423",0.707106781186548
"424",0.679520870345447
"425",0.650090964204779
"426",0.618614122345336
"427",0.584824882615017
"428",0.548366482841788
"429",0.508742611840723
"430",0.465230710441715
"431",0.416711144159753
"432",0.361284087969636
"433",0.295221514709985
"434",0.208852549338849
"435",7.82498036362513e-09
"436",0.969377439796238
"437",0.961186523267616
"438",0.952001988987759
"439",0.941812525494443
"440",0.9306048591021
"441",0.918363460625958
"442",0.905070187493209
"443",0.890703845445407
"444",0.875239648964201
"445",0.858648552558102
"446",0.840896415253715
"447",0.82194294669135
"448",0.801740363014448
"449",0.780231650863204
"450",0.75734829263097
"451",0.733007236217231
"452",0.707106781186548
"453",0.679520870345447
"454",0.650090964204779
"455",0.618614122345336
"456",0.584824882615017
"457",0.548366482841788
