"end.year","year","ice.trend","height.pc1"
1970,1951,0.285367660620622,0.791153541453506
1970,1952,0.428961225441206,0.16081056925957
1970,1953,0.626816693905417,0.185477791075415
1970,1954,0.754891918259649,-1.12996111337866
1970,1955,1.11745766065472,0.346559388149672
1970,1956,1.31342385251593,0.285411313845616
1970,1957,1.13671588390144,0.129544705135407
1970,1958,1.22381653603853,0.979863388858975
1970,1959,1.3662808080151,-0.537942470213843
1970,1960,1.32119672043162,0.91713253920294
1970,1961,1.24026023770308,-0.217464447367073
1970,1962,1.29599566800344,0.199893957992308
1970,1963,1.21465733286221,0.292066973220085
1970,1964,1.0802627330861,-0.647329174152355
1970,1965,0.808027546443912,0.638596091316336
1970,1966,0.663812427991888,1.10925692191264
1970,1967,0.373922079111678,-0.783264814065692
1970,1968,0.215620923937918,-0.333229450390529
1970,1969,0.0527858778578026,1.40014766386855
1970,1970,0.0610050544343335,0.815402843413899
1971,1952,0.428961225441206,0.171122116603535
1971,1953,0.626816693905417,0.196671077896576
1971,1954,0.754891918259649,-1.12226027645597
1971,1955,1.11745766065472,0.361583688318353
1971,1956,1.31342385251593,0.295403848211535
1971,1957,1.13671588390144,0.147690798640406
1971,1958,1.22381653603853,0.993949873622818
1971,1959,1.3662808080151,-0.526169286356177
1971,1960,1.32119672043162,0.929183358566372
1971,1961,1.24026023770308,-0.198023192914023
1971,1962,1.29599566800344,0.210166530669738
1971,1963,1.21465733286221,0.301322470573675
1971,1964,1.0802627330861,-0.632470501978361
1971,1965,0.808027546443912,0.651293982544508
1971,1966,0.663812427991888,1.12152251514514
1971,1967,0.373922079111678,-0.778530457589126
1971,1968,0.215620923937918,-0.32222314018185
1971,1969,0.0527858778578026,1.40796459334325
1971,1970,0.0610050544343335,0.832636341471851
1971,1971,0.178460583110029,0.131147318970651
1972,1953,0.626816693905417,0.231836279891961
1972,1954,0.754891918259649,-1.10774287561676
1972,1955,1.11745766065472,0.392061508668694
1972,1956,1.31342385251593,0.312976554704293
1972,1957,1.13671588390144,0.173951783744693
1972,1958,1.22381653603853,1.02906626075882
1972,1959,1.3662808080151,-0.51453203044234
1972,1960,1.32119672043162,0.948251768130029
1972,1961,1.24026023770308,-0.174934967824702
1972,1962,1.29599566800344,0.23130870239368
1972,1963,1.21465733286221,0.316358554519779
1972,1964,1.0802627330861,-0.613756802515286
1972,1965,0.808027546443912,0.676626746544114
1972,1966,0.663812427991888,1.15743183217124
1972,1967,0.373922079111678,-0.757410362510344
1972,1968,0.215620923937918,-0.297867381735543
1972,1969,0.0527858778578026,1.4228333201997
1972,1970,0.0610050544343335,0.863256509870944
1972,1971,0.178460583110029,0.150445764953949
1972,1972,0.096611255826446,-0.601395275186805
1973,1954,0.754891918259649,-1.06856285973437
1973,1955,1.11745766065472,0.412968967061355
1973,1956,1.31342385251593,0.346722361921151
1973,1957,1.13671588390144,0.220683992219481
1973,1958,1.22381653603853,1.05813563579014
1973,1959,1.3662808080151,-0.451959197560816
1973,1960,1.32119672043162,0.956741493035923
1973,1961,1.24026023770308,-0.124264769806625
1973,1962,1.29599566800344,0.281766394887499
1973,1963,1.21465733286221,0.354309295056105
1973,1964,1.0802627330861,-0.580779117476629
1973,1965,0.808027546443912,0.724229968788553
1973,1966,0.663812427991888,1.17560073628359
1973,1967,0.373922079111678,-0.708444637853727
1973,1968,0.215620923937918,-0.237138331031577
1973,1969,0.0527858778578026,1.42468368960659
1973,1970,0.0610050544343335,0.887706475301682
1973,1971,0.178460583110029,0.199855833422907
1973,1972,0.096611255826446,-0.534043160543297
1973,1973,0.151967905332182,-1.07262317844736
1974,1955,1.11745766065472,0.396994948760391
1974,1956,1.31342385251593,0.328924326348708
1974,1957,1.13671588390144,0.19092494265682
1974,1958,1.22381653603853,1.05268193972605
1974,1959,1.3662808080151,-0.46801502820708
1974,1960,1.32119672043162,0.948578958085051
1974,1961,1.24026023770308,-0.146299691096212
1974,1962,1.29599566800344,0.270845309193174
1974,1963,1.21465733286221,0.338874420669659
1974,1964,1.0802627330861,-0.597560266510109
1974,1965,0.808027546443912,0.706605825579352
1974,1966,0.663812427991888,1.17270858573216
1974,1967,0.373922079111678,-0.729363419015621
1974,1968,0.215620923937918,-0.256068679535979
1974,1969,0.0527858778578026,1.41901057891198
1974,1970,0.0610050544343335,0.871783139726414
1974,1971,0.178460583110029,0.185216940351117
1974,1972,0.096611255826446,-0.555702692226947
1974,1973,0.151967905332182,-1.09243293735592
1974,1974,0.0230679398267669,-0.111118814952404
1975,1956,1.31342385251593,0.36186091816864
1975,1957,1.13671588390144,0.232083609794262
1975,1958,1.22381653603853,1.04097272782164
1975,1959,1.3662808080151,-0.458042178236558
1975,1960,1.32119672043162,0.987192232674575
1975,1961,1.24026023770308,-0.128925819256345
1975,1962,1.29599566800344,0.26104501660032
1975,1963,1.21465733286221,0.352625341102747
1975,1964,1.0802627330861,-0.573828499334127
1975,1965,0.808027546443912,0.704041181369838
1975,1966,0.663812427991888,1.18581140840901
1975,1967,0.373922079111678,-0.697891694313654
1975,1968,0.215620923937918,-0.26396946785502
1975,1969,0.0527858778578026,1.44369824669648
1975,1970,0.0610050544343335,0.882350615998779
1975,1971,0.178460583110029,0.192498291991845
1975,1972,0.096611255826446,-0.536182169769531
1975,1973,0.151967905332182,-1.08564069813922
1975,1974,0.0230679398267669,-0.0879650193113051
1975,1975,-0.239224225269117,-0.749130621284004
1976,1957,1.13671588390144,0.247919929864822
1976,1958,1.22381653603853,1.08065933055391
1976,1959,1.3662808080151,-0.427516632291586
