"","date","pc1"
"1",01/01/50,0.22461745773559
"2",02/01/50,-0.64558617839154
"3",03/01/50,-0.698946292155502
"4",04/01/50,-0.38154265614425
"5",05/01/50,-0.24455630328892
"6",06/01/50,-0.33034305887139
"7",07/01/50,1.18536107565356
"8",08/01/50,0.75555167394031
"9",09/01/50,-0.113039745885477
"10",10/01/50,0.450075920078427
"11",11/01/50,0.660506861180876
"12",12/01/50,1.84199063387438
"13",01/01/51,-0.300049615051567
"14",02/01/51,0.0307525865368593
"15",03/01/51,2.373281593314
"16",04/01/51,0.962443779896111
"17",05/01/51,0.604763098494254
"18",06/01/51,0.757648724867914
"19",07/01/51,0.34728734331096
"20",08/01/51,0.241322997707059
"21",09/01/51,0.896573967090299
"22",10/01/51,-0.360079576373093
"23",11/01/51,-0.268180576457885
"24",12/01/51,-0.978944672690167
"25",01/01/52,0.157494355173625
"26",02/01/52,1.14895615868457
"27",03/01/52,1.60132267737012
"28",04/01/52,-0.311414306949413
"29",05/01/52,0.683236178317639
"30",06/01/52,1.05161050195631
"31",07/01/52,-0.712828500320565
"32",08/01/52,-0.0323680427502282
"33",09/01/52,0.485627839750392
"34",10/01/52,0.424313179884142
"35",11/01/52,1.40703132903219
"36",12/01/52,1.51896161536902
"37",01/01/53,0.692800135410737
"38",02/01/53,-0.667959342490674
"39",03/01/53,-1.16302159573398
"40",04/01/53,0.494960985642395
"41",05/01/53,0.216355824265334
"42",06/01/53,-0.477051416194876
"43",07/01/53,-0.420970494109495
"44",08/01/53,-0.281033708734379
"45",09/01/53,-0.758867480420627
"46",10/01/53,0.368908548330576
"47",11/01/53,-1.1328160142854
"48",12/01/53,-1.11635569835968
"49",01/01/54,-0.214654360653802
"50",02/01/54,-1.14293945524727
"51",03/01/54,-0.808748999873945
"52",04/01/54,-0.369083632820544
"53",05/01/54,1.55263755130671
"54",06/01/54,0.640576200708832
"55",07/01/54,-0.691580447910242
"56",08/01/54,0.0449828273683598
"57",09/01/54,0.0307389721439749
"58",10/01/54,-0.516415688800128
"59",11/01/54,-0.574918197839193
"60",12/01/54,-0.773770477850129
"61",01/01/55,0.05345713341952
"62",02/01/55,1.75280779531754
"63",03/01/55,2.1262480063057
"64",04/01/55,-0.227412472511742
"65",05/01/55,0.055565137560271
"66",06/01/55,0.353211080132129
"67",07/01/55,-0.845005628692348
"68",08/01/55,-1.37123470533574
"69",09/01/55,0.0591566285874402
"70",10/01/55,-0.330866906934381
"71",11/01/55,1.38211101790252
"72",12/01/55,0.853939739926252
"73",01/01/56,0.650755412471172
"74",02/01/56,0.90374761341615
"75",03/01/56,-1.5083207127944
"76",04/01/56,1.0627327102393
"77",05/01/56,-1.12557828945876
"78",06/01/56,-0.706975625955871
"79",07/01/56,-0.102343037747338
"80",08/01/56,0.67338415916419
"81",09/01/56,0.379793218193459
"82",10/01/56,-0.750578759743143
"83",11/01/56,-0.0608910329394753
"84",12/01/56,-0.110269277555252
"85",01/01/57,-1.81092131487301
"86",02/01/57,2.05342790102558
"87",03/01/57,1.46649238373312
"88",04/01/57,-0.292296510640831
"89",05/01/57,0.938606389752891
"90",06/01/57,0.774077493736253
"91",07/01/57,0.547941916001978
"92",08/01/57,-0.510453511630616
"93",09/01/57,1.01060596590187
"94",10/01/57,-0.81610302875691
"95",11/01/57,1.54271920263585
"96",12/01/57,0.0602262359144351
"97",01/01/58,0.345506230412185
"98",02/01/58,1.58644503364862
"99",03/01/58,2.15393697132359
"100",04/01/58,0.386941678361321
"101",05/01/58,0.587325089376123
"102",06/01/58,0.999989764285416
"103",07/01/58,0.79395410707668
"104",08/01/58,0.785199764591319
"105",09/01/58,-0.482034991115019
"106",10/01/58,-0.674333726070952
"107",11/01/58,-0.0012568304994761
"108",12/01/58,1.80423102176422
"109",01/01/59,2.12990245842809
"110",02/01/59,-3.12223461436567
"111",03/01/59,-2.46557407345579
"112",04/01/59,0.209622204768332
"113",05/01/59,0.208046945772746
"114",06/01/59,-0.212831123101275
"115",07/01/59,0.0701924757343894
"116",08/01/59,1.13329332960946
"117",09/01/59,0.652963833944654
"118",10/01/59,0.149533258705631
"119",11/01/59,0.879545967283424
"120",12/01/59,-0.750554395016211
"121",01/01/60,2.1552653004343
"122",02/01/60,2.01791358808878
"123",03/01/60,1.27968663513698
"124",04/01/60,0.430165243093861
"125",05/01/60,0.416804572655534
"126",06/01/60,0.270918928107765
"127",07/01/60,0.637343154951618
"128",08/01/60,1.55203173102104
"129",09/01/60,0.514127642288284
"130",10/01/60,0.860271560342125
"131",11/01/60,0.373079910542721
"132",12/01/60,-0.142918439398906
"133",01/01/61,0.795522526989199
"134",02/01/61,-1.25455302735934
"135",03/01/61,0.231996887410783
"136",04/01/61,0.905633442241317
"137",05/01/61,-0.392182556136197
"138",06/01/61,-0.558707643415703
"139",07/01/61,0.127702735481419
"140",08/01/61,0.516991317216191
"141",09/01/61,-0.372547554728994
"142",10/01/61,-0.135248100205404
"143",11/01/61,-0.707122563135395
"144",12/01/61,0.967405312214176
"145",01/01/62,-1.44906453582811
"146",02/01/62,0.11810884242407
"147",03/01/62,2.72384095185829
"148",04/01/62,-1.25765071677138
"149",05/01/62,0.359990168685878
"150",06/01/62,0.145146872916649
"151",07/01/62,0.601386621440961
"152",08/01/62,0.113148865268678
"153",09/01/62,-0.178147567458143
"154",10/01/62,0.187368652021722
"155",11/01/62,0.00773338780056688
"156",12/01/62,0.640756454399874
"157",01/01/63,1.9289983429588
"158",02/01/63,0.302656749278583
"159",03/01/63,-0.541722498990023
